"Comments","Clinical Code",,,,"Sensitivity Code",,,,"Confidentiality Code",,,
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87906","Infectious Agent Genotype Analysis By Nucleic Acid (Dna Or Rna); HIV-1, Other Region (Eg, Integrase, Fusion)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87904","Infectious Agent Phenotype Analysis By Nucleic Acid (Dna Or Rna) With Drug Resistance Tissue Culture Analysis, HIV 1; Each Additional Drug Tested (List Separately In Addition To Code For Primary Procedure)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87903","Infectious Agent Phenotype Analysis By Nucleic Acid (Dna Or Rna) With Drug Resistance Tissue Culture Analysis, HIV 1; First Through 10 Drugs Tested","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87901","Infectious Agent Genotype Analysis By Nucleic Acid (Dna Or Rna); HIV-1, Reverse Transcriptase And Protease Regions","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87900","Infectious Agent Drug Susceptibility Phenotype Prediction Using Regularly Updated Genotypic Bioinformatics","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87539","Infectious Agent Detection By Nucleic Acid (Dna Or Rna); HIV-2, Reverse Transcription And Quantification","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87538","Infectious Agent Detection By Nucleic Acid (Dna Or Rna); HIV-2, Reverse Transcription And Amplified Probe Technique","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87537","Infectious Agent Detection By Nucleic Acid (Dna Or Rna); HIV-2, Direct Probe Technique","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87536","Infectious Agent Detection By Nucleic Acid (Dna Or Rna); HIV-1, Reverse Transcription And Quantification","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87535","Infectious Agent Detection By Nucleic Acid (Dna Or Rna); HIV-1, Reverse Transcription And Amplified Probe Technique","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87534","Infectious Agent Detection By Nucleic Acid (Dna Or Rna); HIV-1, Direct Probe Technique","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87391","Infectious Agent Antigen Detection By Enzyme Immunoassay Technique, Qualitative Or Semiquantitative, Multiple-Step Method; HIV-2","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87390","Infectious Agent Antigen Detection By Enzyme Immunoassay Technique, Qualitative Or Semiquantitative, Multiple-Step Method; HIV-1","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","87389","Infectious Agent Antigen Detection By Enzyme Immunoassay Technique, Qualitative Or Semiquantitative, Multiple-Step Method; HIV-1 Antigen(S), With HIV-1 And HIV-2 Antibodies, Single Result","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","86703","Antibody; HIV-1 And HIV-2, Single Result","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","86702","Antibody; HIV-2","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","86701","Antibody; HIV-1","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","86689","Antibody; Htlv Or HIV Antibody, Confirmatory Test (Eg, Western Blot)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","4293F","Patient Screened For High-Risk Sexual Behavior (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","4290F","Patient Screened For Injection Drug Use (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","4280F","Pneumocystis Jiroveci Pneumonia Prophylaxis Prescribed Within 3 Months Of Low Cd4+ Cell Count Or Percentage (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","4279F","Pneumocystis Jiroveci Pneumonia Prophylaxis Prescribed (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","4276F","Potent Antiretroviral Therapy Prescribed (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","4274F","Influenza Immunization Administered Or Previously Received (HIV) (P-Esrd)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","4271F","Patient Receiving Potent Antiretroviral Therapy For Less Than 6 Months Or Not Receiving Potent Antiretroviral Therapy (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","4270F","Patient Receiving Potent Antiretroviral Therapy For 6 Months Or Longer (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","4149F","Hepatitis B Vaccine Injection Administered Or Previously Received (Hep-C, HIV) (Ibd)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3515F","Patient Has Documented Immunity To Hepatitis C (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3514F","Hepatitis C Screening Documented As Performed (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3513F","Hepatitis B Screening Documented As Performed (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3512F","Syphilis Screening Documented As Performed (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3511F","Chlamydia And Gonorrhea Screenings Documented As Performed (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3510F","Documentation That Tuberculosis (Tb) Screening Test Performed And Results Interpreted (HIV) (Ibd)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3503F","HIV Rna Viral Load Not Below Limits Of Quantification (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3502F","HIV Rna Viral Load Below Limits Of Quantification (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3500F","Cd4+ Cell Count Or Cd4+ Cell Percentage Documented As Performed (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3498F","Cd4+ Cell Percentage >= 15% (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3497F","Cd4+ Cell Percentage <15% (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3496F","Cd4+ Cell Count >= 500 Cells/Mm3 (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3495F","Cd4+ Cell Count 200 - 499 Cells/Mm3 (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3494F","Cd4+ Cell Count < 200 Cells/Mm3 (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3493F","No History Of Nadir Cd4+ Cell Count < 350 Cells/Mm3 And No History Of AIDS-Defining Condition (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3492F","History Of Nadir Cd4+ Cell Count < 350 Cells/Mm3 (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3491F","HIV Indeterminate (Infants Of Undetermined HIV Status Born Of HIV-Infected Mothers) (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3490F","History Of AIDS-Defining Condition (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","3292F","HIV Testing Ordered Or Documented And Reviewed During The First Or Second Prenatal Visit (Pre-Cr)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","2.16.840.1.113883.6.12","CPT-4","0575F","HIV Rna Control Plan Of Care, Documented (HIV)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","HCPCS","HCPCS","S3645","Hiv-1 antibody testing of oral mucosal transudate","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","HCPCS","HCPCS","G8500","All quality actions for the applicable measures in the hiv/aids measures group have been performed for this patient","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","HCPCS","HCPCS","G8491","I intend to report the hiv/aids measures group","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","HCPCS","HCPCS","G0435","Infectious Agent Antigen Detection By Rapid Antibody Test Of Oral Mucosa Transudate, HIV-1 Or HIV-2, Screening","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","HCPCS","HCPCS","G0433","Infectious Agent Antibody Detection By Enzyme-Linked Immunosorbent Assay (Elisa) Technique, HIV-1 And/Or HIV-2, Screening","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"HIV/AIDS information sensitivity","HCPCS","HCPCS","G0432","Infectious Agent Antibody Detection By Enzyme Immunoassay (Eia) Technique, HIV-1 And/Or HIV-2, Screening","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"HIV","HIV/AIDS information sensitivity ","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"V","Very Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F19.99","Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F19.97","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F19.96","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F19.951","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F19.950","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F19.94","Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F19.939","Other psychoactive substance use, unspecified with withdrawal, unspecified","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F19.921","Other psychoactive substance use, unspecified with intoxication with delirium","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.988 ","Other stimulant use, unspecified with other stimulant-induced disorder","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.982 ","Other stimulant use, unspecified with stimulant-induced sleep disorder","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.981 ","Other stimulant use, unspecified with stimulant-induced sexual dysfunction","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.980 ","Other stimulant use, unspecified with stimulant-induced anxiety disorder","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.959 ","Other stimulant use, unspecified with stimulant-induced psychotic disorder, unspecified","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.922 ","Other stimulant use, unspecified with intoxication with perceptual disturbance","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.288 ","Other stimulant dependence with other stimulant-induced disorder","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.282 ","Other stimulant dependence with stimulant-induced sleep disorder","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.281 ","Other stimulant dependence with stimulant-induced sexual dysfunction","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.280 ","Other stimulant dependence with stimulant-induced anxiety disorder","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.259 ","Other stimulant dependence with stimulant-induced psychotic disorder, unspecified","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.222 ","Other stimulant dependence with intoxication with perceptual disturbance","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.21","Other stimulant dependence, in remission","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","ICD-10-CM ","ICD-10-Clinical Modification","F15.20","Other stimulant dependence, uncomplicated","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
